Date,Open,Close,Change(%),High,Low
"27 Aug 2020","11,611.00","11,577.00","-0.29%","11,624.00","11,566.00"
"26 Aug 2020","11,484.00","11,549.00","0.57%","11,551.00","11,459.00"
"25 Aug 2020","11,509.00","11,474.00","-0.30%","11,516.00","11,417.00"
"24 Aug 2020","11,429.00","11,476.00","0.41%","11,520.00","11,421.00"
"21 Aug 2020","11,397.00","11,369.00","-0.25%","11,420.00","11,368.00"
"20 Aug 2020","11,299.00","11,304.00","0.04%","11,351.00","11,269.00"
"19 Aug 2020","11,441.00","11,421.00","-0.17%","11,464.00","11,406.00"
"18 Aug 2020","11,301.00","11,394.00","0.82%","11,418.00","11,290.00"
"17 Aug 2020","11,215.00","11,279.00","0.57%","11,280.00","11,158.00"
"14 Aug 2020","11,348.00","11,177.00","-1.51%","11,390.00","11,113.00"
"13 Aug 2020","11,352.00","11,305.00","-0.41%","11,367.00","11,270.00"
"12 Aug 2020","11,258.00","11,415.00","1.39%","11,415.00","11,250.00"
"11 Aug 2020","11,367.00","11,346.00","-0.18%","11,375.00","11,306.00"
"10 Aug 2020","11,305.00","11,299.00","-0.05%","11,336.00","11,247.00"
"07 Aug 2020","11,172.00","11,225.00","0.47%","11,245.00","11,150.00"
"06 Aug 2020","11,147.00","11,211.00","0.57%","11,276.00","11,130.00"
"05 Aug 2020","11,186.00","11,127.00","-0.53%","11,227.00","11,065.00"
"04 Aug 2020","10,937.00","11,108.00","1.56%","11,108.00","10,912.00"
"03 Aug 2020","10,996.00","10,912.00","-0.76%","10,999.00","10,885.00"
"31 Jul 2020","11,067.00","11,090.00","0.21%","11,153.00","11,026.00"
"30 Jul 2020","11,252.00","11,097.00","-1.38%","11,286.00","11,073.00"
"29 Jul 2020","11,337.00","11,231.00","-0.93%","11,337.00","11,171.00"
"28 Jul 2020","11,171.00","11,320.00","1.33%","11,320.00","11,153.00"
"27 Jul 2020","11,156.00","11,119.00","-0.33%","11,166.00","11,071.00"
"24 Jul 2020","11,127.00","11,148.00","0.19%","11,199.00","11,063.00"
"23 Jul 2020","11,144.00","11,204.00","0.54%","11,227.00","11,129.00"
"22 Jul 2020","11,131.00","11,108.00","-0.21%","11,177.00","11,041.00"
"21 Jul 2020","11,116.00","11,173.00","0.51%","11,184.00","11,101.00"
"20 Jul 2020","10,963.00","11,013.00","0.46%","11,027.00","10,924.00"
"17 Jul 2020","10,775.00","10,932.00","1.46%","10,933.00","10,764.00"
"16 Jul 2020","10,622.00","10,715.00","0.88%","10,735.00","10,581.00"
"15 Jul 2020","10,679.00","10,602.00","-0.72%","10,822.00","10,597.00"
"14 Jul 2020","10,730.00","10,608.00","-1.14%","10,731.00","10,553.00"
"13 Jul 2020","10,844.00","10,804.00","-0.37%","10,877.00","10,749.00"
"10 Jul 2020","10,782.00","10,759.00","-0.21%","10,805.00","10,698.00"
"09 Jul 2020","10,729.00","10,839.00","1.03%","10,840.00","10,715.00"
"08 Jul 2020","10,795.00","10,683.00","-1.04%","10,828.00","10,681.00"
"07 Jul 2020","10,738.00","10,756.00","0.17%","10,783.00","10,659.00"
"06 Jul 2020","10,677.00","10,748.00","0.66%","10,783.00","10,677.00"
"03 Jul 2020","10,571.00","10,581.00","0.09%","10,606.00","10,536.00"
"02 Jul 2020","10,478.00","10,530.00","0.50%","10,580.00","10,443.00"
"01 Jul 2020","10,268.00","10,404.00","1.32%","10,428.00","10,252.00"
"30 Jun 2020","10,310.00","10,244.00","-0.64%","10,339.00","10,185.00"
"29 Jun 2020","10,249.00","10,275.00","0.25%","10,275.00","10,158.00"
"26 Jun 2020","10,301.00","10,304.00","0.03%","10,345.00","10,235.00"
"25 Jun 2020","10,216.00","10,225.00","0.09%","10,318.00","10,176.00"
"24 Jun 2020","10,493.00","10,290.00","-1.93%","10,534.00","10,275.00"
"23 Jun 2020","10,342.00","10,475.00","1.29%","10,475.00","10,284.00"
"22 Jun 2020","10,289.00","10,285.00","-0.04%","10,373.00","10,248.00"
"19 Jun 2020","10,115.00","10,251.00","1.34%","10,251.00","10,054.00"
"18 Jun 2020","9,832.00","10,065.00","2.37%","10,101.00","9,832.00"
"17 Jun 2020","9,815.00","9,841.00","0.26%","9,987.00","9,815.00"
"16 Jun 2020","10,035.00","9,888.00","-1.46%","10,035.00","9,722.00"
"15 Jun 2020","9,893.00","9,816.00","-0.78%","9,899.00","9,683.00"
"12 Jun 2020","9,618.00","9,869.00","2.61%","9,869.00","9,617.00"
"11 Jun 2020","10,050.00","9,887.00","-1.62%","10,098.00","9,882.00"
"10 Jun 2020","10,099.00","10,147.00","0.48%","10,150.00","10,039.00"
"09 Jun 2020","10,166.00","10,014.00","-1.50%","10,294.00","10,012.00"
"08 Jun 2020","10,305.00","10,171.00","-1.30%","10,308.00","10,114.00"
"05 Jun 2020","10,091.00","10,157.00","0.65%","10,171.00","10,042.00"
"04 Jun 2020","10,096.00","10,024.00","-0.71%","10,104.00","9,932.00"
"03 Jun 2020","10,107.00","10,052.00","-0.54%","10,190.00","10,037.00"
"02 Jun 2020","9,797.00","9,954.00","1.60%","9,964.00","9,788.00"
"01 Jun 2020","9,743.00","9,796.00","0.54%","9,908.00","9,731.00"
"29 May 2020","9,429.00","9,498.00","0.73%","9,504.00","9,362.00"
"28 May 2020","9,359.00","9,426.00","0.72%","9,444.00","9,338.00"
"27 May 2020","9,033.00","9,309.00","3.06%","9,339.00","8,988.00"
"26 May 2020","9,110.00","9,035.00","-0.82%","9,161.00","8,978.00"
"25 May 2020","9,061.00","9,070.00","0.10%","9,099.00","9,033.00"
"22 May 2020","9,037.00","9,047.00","0.11%","9,121.00","8,948.00"
"21 May 2020","9,107.00","9,066.00","-0.45%","9,164.00","9,052.00"
"20 May 2020","8,940.00","9,082.00","1.59%","9,095.00","8,921.00"
"19 May 2020","8,898.00","8,885.00","-0.15%","9,033.00","8,852.00"
"18 May 2020","9,079.00","8,827.00","-2.78%","9,080.00","8,812.00"
"15 May 2020","9,086.00","9,137.00","0.56%","9,177.00","9,049.00"
"14 May 2020","9,246.00","9,142.00","-1.12%","9,279.00","9,110.00"
"13 May 2020","9,452.00","9,394.00","-0.61%","9,465.00","9,356.00"
"12 May 2020","9,127.00","9,216.00","0.98%","9,261.00","9,036.00"
"11 May 2020","9,361.00","9,230.00","-1.40%","9,438.00","9,202.00"
"08 May 2020","9,338.00","9,237.00","-1.08%","9,342.00","9,212.00"
"07 May 2020","9,196.00","9,208.00","0.13%","9,258.00","9,170.00"
"06 May 2020","9,151.00","9,283.00","1.44%","9,363.00","9,126.00"
"05 May 2020","9,408.00","9,204.00","-2.17%","9,409.00","9,189.00"
"04 May 2020","9,421.00","9,269.00","-1.61%","9,433.00","9,234.00"
"01 May 2020","9,862.00","9,862.00","-","9,862.00","9,862.00"
"30 Apr 2020","9,762.00","9,862.00","1.02%","9,898.00","9,762.00"
"29 Apr 2020","9,442.00","9,553.00","1.18%","9,592.00","9,436.00"
"28 Apr 2020","9,357.00","9,381.00","0.26%","9,400.00","9,265.00"
"27 Apr 2020","9,292.00","9,282.00","-0.11%","9,369.00","9,277.00"
"24 Apr 2020","9,159.00","9,155.00","-0.04%","9,252.00","9,110.00"
"23 Apr 2020","9,198.00","9,314.00","1.26%","9,314.00","9,185.00"
"22 Apr 2020","8,965.00","9,188.00","2.49%","9,210.00","8,929.00"
"21 Apr 2020","9,028.00","8,982.00","-0.51%","9,041.00","8,903.00"
"20 Apr 2020","9,308.00","9,263.00","-0.48%","9,329.00","9,211.00"
"17 Apr 2020","9,301.00","9,269.00","-0.34%","9,327.00","9,109.00"
"16 Apr 2020","8,849.00","8,995.00","1.65%","9,082.00","8,840.00"
"15 Apr 2020","9,155.00","8,928.00","-2.48%","9,277.00","8,847.00"
"14 Apr 2020","9,221.00","8,997.00","-2.43%","9,258.00","8,997.00"
"13 Apr 2020","8,931.00","8,997.00","0.74%","9,098.00","8,904.00"
"09 Apr 2020","8,987.00","9,116.00","1.44%","9,116.00","8,888.00"
"08 Apr 2020","8,724.00","8,753.00","0.33%","9,141.00","8,689.00"
"07 Apr 2020","8,426.00","8,797.00","4.40%","8,878.00","8,407.00"
"06 Apr 2020","8,195.00","8,089.00","-1.29%","8,380.00","8,089.00"
"03 Apr 2020","8,147.00","8,089.00","-0.71%","8,223.00","8,047.00"
"02 Apr 2020","8,601.00","8,604.00","0.03%","8,701.00","8,558.00"
"01 Apr 2020","8,457.00","8,260.00","-2.33%","8,458.00","8,205.00"
"31 Mar 2020","8,601.00","8,604.00","0.03%","8,701.00","8,558.00"
"30 Mar 2020","8,580.00","8,580.00","-","8,580.00","8,580.00"
"26 Mar 2020","8,640.00","8,640.00","-","8,640.00","8,640.00"
"24 Mar 2020","8,558.00","8,558.00","-","8,558.00","8,558.00"
"23 Mar 2020","8,558.00","8,558.00","-","8,558.00","8,558.00"
"20 Mar 2020","8,299.00","8,558.00","3.12%","8,808.00","8,221.00"
"13 Mar 2020","9,416.00","9,801.00","4.09%","9,820.00","9,405.00"
"12 Mar 2020","9,916.00","9,553.00","-3.66%","9,916.00","9,468.00"
